Query Prec-5 Prec-20
3 0.0 0.0
59 0.6 0.2
58 0.6 0.4
64 0.2 0.05
2 0.4 0.15
1 0.4 0.1
63 0.8 0.4
5 0.4 0.1
4 0.4 0.1
62 0.0 0.05
48 0.0 0.05
6 0.2 0.1
60 0.2 0.1
61 0.8 0.5
7 0.6 0.45
49 0.0 0.15
12 0.4 0.1
13 0.8 0.2
11 0.6 0.4
39 0.4 0.25
38 0.0 0.1
10 0.6 0.6
28 0.8 0.2
14 0.0 0.1
15 0.2 0.15
29 0.0 0.4
17 0.2 0.2
16 0.2 0.05
33 0.0 0.0
27 0.8 0.35
26 0.0 0.25
32 0.2 0.05
24 0.2 0.05
30 0.2 0.05
18 0.0 0.15
19 0.8 0.3
31 0.2 0.1
25 0.6 0.35
21 0.0 0.2
20 0.4 0.1
36 0.0 0.3
22 0.4 0.2
23 0.6 0.2
37 0.2 0.2
44 0.4 0.15
45 0.8 0.3
9 0.4 0.15
8 0.4 0.1
42 0.0 0.2
57 0.2 0.05
43 0.4 0.35
40 0.4 0.15
